,school_name,school_type,addr
174,서울방학초등학교,공립,서울특별시 도봉구 도당로9길 34 (방학동)
175,서울백운초등학교,공립,서울특별시 도봉구 삼양로146길 17 (쌍문동)
176,서울숭미초등학교,공립,서울특별시 도봉구 노해로 179 (쌍문동.숭미초등학교)
177,서울신방학초등학교,공립,서울특별시 도봉구 시루봉로 173 . 서울신방학초등학교 (방학동)
178,서울신창초등학교,공립,서울특별시 도봉구 덕릉로60길 93 . 신창초등학교 (창동)
179,서울신학초등학교,공립,서울특별시 도봉구 방학로 247-21 (방학동)
180,서울신화초등학교,공립,서울특별시 도봉구 우이천로 120 . 신화초등학교 (창동)
181,서울쌍문초등학교,공립,서울특별시 도봉구 우이천로 360 . 서울쌍문초등학교 (쌍문동.쌍문초등학교)
182,서울오봉초등학교,공립,서울특별시 도봉구 시루봉로 285 . 서울오봉초등학교 (도봉동)
183,서울월천초등학교,공립,서울특별시 도봉구 노해로70길 96 (창동.서울월천초등학교)
184,서울자운초등학교,공립,서울특별시 도봉구 마들로13길 166 . 서울자운초등학교 (창동)
185,서울창경초등학교,공립,서울특별시 도봉구 도봉로129길 54 (쌍문동.창경초등학교)
186,서울창도초등학교,공립,서울특별시 도봉구 방학로 32-28 (방학동. 서울창도초등학교)
187,서울창동초등학교,공립,서울특별시 도봉구 해등로16길 81 (창동)
188,서울창림초등학교,공립,서울특별시 도봉구 덕릉로63길 46 (창동)
189,서울창원초등학교,공립,서울특별시 도봉구 해등로 103 (창동. 서울창원초등학교)
190,서울창일초등학교,공립,서울특별시 도봉구 노해로66길 84 . 창일초등학교 (창동)
191,서울초당초등학교,공립,서울특별시 도봉구 해등로32길 11 (방학동)
192,한신초등학교,사립,서울특별시 도봉구 노해로49길 69 (쌍문동.한신초등학교)
193,상명초등학교,사립,서울특별시 노원구 덕릉로 541 . 상명초등학교 (중계동)
194,서울계상초등학교,공립,서울특별시 노원구 한글비석로41가길 24 (상계동)
195,서울공릉초등학교,공립,서울특별시 노원구 동일로173길 12 (공릉동.서울공릉초등학교)
196,서울공연초등학교,공립,서울특별시 노원구 동일로192가길 16 (공릉동.서울공연초등학교)
197,서울노원초등학교,공립,서울특별시 노원구 동일로230나길 32 (상계동. 노원초등학교)
198,서울노일초등학교,공립,서울특별시 노원구 동일로 1625 (상계동.노일초등학교)
199,서울녹천초등학교,공립,서울특별시 노원구 마들로3길 34 . 서울녹천초등학교 (월계동)
200,서울당현초등학교,공립,서울특별시 노원구 동일로213길 52 (상계동. 서울당현초등학교)
201,서울덕암초등학교,공립,서울특별시 노원구 덕릉로112길 68 . 서울덕암초등학교 (상계동)
202,서울동일초등학교,공립,서울특별시 노원구 한글비석로 566. 서울동일초등학교 (상계동)
203,서울불암초등학교,공립,서울특별시 노원구 중계로 178 . 서울불암초등학교 (중계동)
204,서울상경초등학교,공립,서울특별시 노원구 수락산로 237 (상계동.상경초등학교)
205,서울상계초등학교,공립,서울특별시 노원구 상계로9길 39 . 서울상계초등학교 (상계동)
206,서울상곡초등학교,공립,서울특별시 노원구 노원로38길 34 . 서울상곡초등학교 (상계동)
207,서울상수초등학교,공립,서울특별시 노원구 동일로216길 66 . 서울상수초등학교 (상계동)
208,서울상원초등학교,공립,서울특별시 노원구 한글비석로54길 119 (상계동)
209,서울상월초등학교,공립,서울특별시 노원구 동일로221길 27 (상계동)
210,서울상천초등학교,공립,서울특별시 노원구 덕릉로 443 . 서울상천초등학교 (상계동)
211,서울선곡초등학교,공립,서울특별시 노원구 광운로2길 1 서울선곡초등학교 (월계동)
212,서울수락초등학교,공립,서울특별시 노원구 동일로 1745 (상계동.서울수락초등학교)
213,서울수암초등학교,공립,서울특별시 노원구 중계로12길 9 (중계동.수암초등학교)
214,서울신계초등학교,공립,서울특별시 노원구 초안산로 29 (월계동.신계초등학교)
215,서울신상계초등학교,공립,서울특별시 노원구 상계로 267 . 신상계초등학교 (상계동)
216,서울연지초등학교,공립,서울특별시 노원구 월계로55길 48 (월계동)
217,서울연촌초등학교,공립,서울특별시 노원구 공릉로58길 36 . 서울연촌초등학교 (하계동)
218,서울온곡초등학교,공립,서울특별시 노원구 한글비석로52길 59 (상계동.온곡초등학교)
219,서울용동초등학교,공립,서울특별시 노원구 한글비석로1길 81-11 (중계동.용동초등학교)
220,서울용원초등학교,공립,서울특별시 노원구 섬밭로 144 . 용원초등학교 (공릉동. 서울용원초등학교)
221,서울원광초등학교,공립,서울특별시 노원구 덕릉로76길 18 (중계동.원광초등학교)
222,서울월계초등학교,공립,서울특별시 노원구 월계로45가길 10 (월계동.월계초등학교)
223,서울을지초등학교,공립,서울특별시 노원구 중계로 239 (중계동)
224,서울중계초등학교,공립,서울특별시 노원구 한글비석로19길 39 . 서울중계초등학교 (중계동)
225,서울중원초등학교,공립,서울특별시 노원구 섬밭로 316 (중계동)
226,서울중평초등학교,공립,서울특별시 노원구 섬밭로 241 . 서울중평초등학교 (하계동)
227,서울중현초등학교,공립,서울특별시 노원구 섬밭로 181 . 서울중현초등학교 (하계동.중현초등학교)
228,서울청계초등학교,공립,서울특별시 노원구 공릉로 431 (중계동. 청계초등학교)
229,서울태랑초등학교,공립,서울특별시 노원구 화랑로51나길 31 . 서울태랑초등학교 (공릉동)
230,서울태릉초등학교,공립,서울특별시 노원구 노원로1길 36 . 서울태릉초등학교 (공릉동)
231,서울한천초등학교,공립,서울특별시 노원구 마들로 45 . 서울한천초등학교 (월계동)
232,청원초등학교,사립,서울특별시 노원구 한글비석로 506 . (상계동.청원초/중/고등학교) (상계동)
